Lux,Timestamp
2580.48,2025-06-11 16:17:44
2119.68,2025-06-11 16:22:46
2032.0,2025-06-11 16:27:49
2359.68,2025-06-11 16:37:53
1944.32,2025-06-11 16:42:55
2112.0,2025-06-11 16:47:58
1947.52,2025-06-11 16:53:00
1358.72,2025-06-11 17:08:20
1372.16,2025-06-11 17:13:22
1376.64,2025-06-11 17:18:24
1244.8,2025-06-11 17:23:26
1254.4,2025-06-11 17:28:28
1043.2,2025-06-11 17:33:30
1145.92,2025-06-11 17:38:33
1014.4,2025-06-11 17:43:35
957.76,2025-06-11 17:48:38
886.08,2025-06-11 17:53:40
806.72,2025-06-11 17:58:43
763.84,2025-06-11 18:03:45
841.6,2025-06-11 18:08:47
1008.32,2025-06-11 18:13:50
1065.28,2025-06-11 18:18:52
1000.64,2025-06-11 18:23:54
959.36,2025-06-11 18:33:59
947.84,2025-06-11 18:39:01
979.2,2025-06-11 18:44:03
785.6,2025-06-11 18:54:08
715.84,2025-06-11 18:59:10
624.48,2025-06-11 19:04:12
466.24,2025-06-11 19:14:17
410.72,2025-06-11 19:19:19
344.8,2025-06-11 19:24:21
278.4,2025-06-11 19:29:24
212.56,2025-06-11 19:34:26
171.68,2025-06-11 19:39:28
157.2,2025-06-11 19:44:30
135.56,2025-06-11 19:49:33
25.03,2025-06-11 20:39:56
25.58,2025-06-11 21:05:07
25.53,2025-06-11 21:10:09
25.51,2025-06-11 21:15:11
25.58,2025-06-11 21:20:13
25.54,2025-06-11 21:30:31
0.03,2025-06-11 21:35:33
2.77,2025-06-11 21:40:35
2.77,2025-06-11 21:45:38
2.77,2025-06-11 21:55:43
2.76,2025-06-11 22:00:45
2.96,2025-06-11 22:05:47
